date , num-hits
2025-04-01 , 3010100
2025-04-02 , 1275513
2025-04-03 , 1358771
2025-04-04 , 4482714
2025-04-05 , 1078944
2025-04-06 , 1085225
2025-04-07 , 1198436
2025-04-08 , 1119496
2025-04-09 , 1232227
2025-04-10 , 1233969
2025-04-11 , 1169205
2025-04-12 , 1178109
2025-04-13 , 1114487
2025-04-14 , 1264625
2025-04-15 , 1485145
2025-04-16 , 1271852
2025-04-17 , 1145253
2025-04-18 , 1040884
2025-04-19 , 1045217
2025-04-20 , 1131040
2025-04-21 , 1181770
2025-04-22 , 1562263
2025-04-23 , 1289429
2025-04-24 , 1673740
2025-04-25 , 2634527
2025-04-26 , 1389593
2025-04-27 , 1147219
2025-04-28 , 1240631
2025-04-29 , 1288023
2025-04-30 , 1201270
