date , cs-uri-stem , num-hits
2025-04-01 , /page , 276357
2025-04-01 , /pagesummary , 221550
2025-04-01 , /pagethumb , 76785
2025-04-01 , /item , 59681
2025-04-01 , /pagetext , 42672
2025-04-01 , /bibliography , 35425
2025-04-01 , /name , 32790
2025-04-01 , /part , 32315
2025-04-01 , /creator , 27683
2025-04-01 , /openurl , 23419
2025-04-01 , /api3 , 22608
2025-04-01 , /subject , 12060
2025-04-01 , /namelistdownload , 10545
2025-04-01 , /search , 8881
2025-04-01 , /browse , 5776
2025-04-01 , / , 5764
2025-04-01 , /itempdf , 4063
2025-04-01 , /namelist , 3261
2025-04-01 , /partpdf , 2688
2025-04-01 , /DLIndexBrowse.aspx , 2568
2025-04-01 , /ia , 2503
2025-04-01 , /api2 , 2319
2025-04-01 , /error , 1491
2025-04-01 , /itemdetails , 1358
2025-04-01 , /content , 1337
2025-04-01 , /itemimages , 1271
2025-04-01 , /itemtext , 1239
2025-04-01 , /wp-content , 1050
2025-04-01 , /robots.txt , 1015
2025-04-02 , /pagesummary , 203724
2025-04-02 , /page , 186848
2025-04-02 , /pagethumb , 67417
2025-04-02 , /item , 61497
2025-04-02 , /bibliography , 40794
2025-04-02 , /part , 40210
2025-04-02 , /creator , 36583
2025-04-02 , /name , 33477
2025-04-02 , /api3 , 23431
2025-04-02 , /subject , 12756
2025-04-02 , /namelistdownload , 11174
2025-04-02 , /search , 9204
2025-04-02 , /browse , 6141
2025-04-02 , / , 5047
2025-04-02 , /partpdf , 4668
2025-04-02 , /namelist , 4391
2025-04-02 , /itempdf , 3962
2025-04-02 , /openurl , 2985
2025-04-02 , /pagetext , 2670
2025-04-02 , /api2 , 2533
2025-04-02 , /ia , 2439
2025-04-02 , /DLIndexBrowse.aspx , 2056
2025-04-02 , /content , 1981
2025-04-02 , /itemimages , 1950
2025-04-02 , /itemtext , 1623
2025-04-02 , /itemdetails , 1617
2025-04-02 , /modsdownload , 1396
2025-04-02 , /error , 1043
2025-04-02 , /robots.txt , 1034
2025-04-03 , /pagetext , 1796108
2025-04-03 , /pagesummary , 198493
2025-04-03 , /page , 151066
2025-04-03 , /pagethumb , 59474
2025-04-03 , /item , 54988
2025-04-03 , /name , 49450
2025-04-03 , /bibliography , 35985
2025-04-03 , /creator , 32807
2025-04-03 , /part , 31919
2025-04-03 , /api3 , 19918
2025-04-03 , /namelistdownload , 11918
2025-04-03 , /search , 11641
2025-04-03 , /subject , 10619
2025-04-03 , /browse , 6914
2025-04-03 , / , 5363
2025-04-03 , /itempdf , 4711
2025-04-03 , /namelist , 4224
2025-04-03 , /partpdf , 3874
2025-04-03 , /openurl , 3768
2025-04-03 , /ia , 2890
2025-04-03 , /DLIndexBrowse.aspx , 2583
2025-04-03 , /content , 2446
2025-04-03 , /itemimages , 2257
2025-04-03 , /itemtext , 2069
2025-04-03 , /modsdownload , 1638
2025-04-03 , /api2 , 1419
2025-04-03 , /error , 1398
