hour , num-hits 
2025-06-24 20:00:00 , 82694
2025-06-24 21:00:00 , 90618
2025-06-24 22:00:00 , 89487
2025-06-24 23:00:00 , 90195
2025-06-25 00:00:00 , 97684
2025-06-25 01:00:00 , 93738
2025-06-25 02:00:00 , 80746
2025-06-25 03:00:00 , 85062
2025-06-25 04:00:00 , 99955
2025-06-25 05:00:00 , 99604
2025-06-25 06:00:00 , 94534
2025-06-25 07:00:00 , 96405
2025-06-25 08:00:00 , 107704
2025-06-25 09:00:00 , 100205
2025-06-25 10:00:00 , 104414
2025-06-25 11:00:00 , 93885
2025-06-25 12:00:00 , 159116
2025-06-25 13:00:00 , 111193
2025-06-25 14:00:00 , 93164
2025-06-25 15:00:00 , 84231
2025-06-25 16:00:00 , 74049
2025-06-25 17:00:00 , 91830
2025-06-25 18:00:00 , 89991
2025-06-25 19:00:00 , 84908
2025-06-25 20:00:00 , 71656
2025-06-25 21:00:00 , 62568
2025-06-25 22:00:00 , 79102
2025-06-25 23:00:00 , 79736
2025-06-26 00:00:00 , 91840
2025-06-26 01:00:00 , 79426
2025-06-26 02:00:00 , 81285
2025-06-26 03:00:00 , 70136
2025-06-26 04:00:00 , 89858
2025-06-26 05:00:00 , 86698
2025-06-26 06:00:00 , 81463
2025-06-26 07:00:00 , 77108
2025-06-26 08:00:00 , 66733
2025-06-26 09:00:00 , 79088
2025-06-26 10:00:00 , 91581
2025-06-26 11:00:00 , 95632
2025-06-26 12:00:00 , 88966
2025-06-26 13:00:00 , 80594
2025-06-26 14:00:00 , 68048
2025-06-26 15:00:00 , 87380
2025-06-26 16:00:00 , 87475
2025-06-26 17:00:00 , 84519
2025-06-26 18:00:00 , 83199
