date , cs-uri-stem , sc-status , num-hits
2025-04-01 , / , 200 , 3555
2025-04-01 , /DLIndexBrowse.aspx , 200 , 2288
2025-04-01 , /Search.aspx , 200 , 10
2025-04-01 , /advsearch , 200 , 132
2025-04-01 , /api , 200 , 1
2025-04-01 , /api2 , 200 , 2829
2025-04-01 , /api3 , 200 , 35403
2025-04-01 , /bibliography , 200 , 35660
2025-04-01 , /bibtexdownload , 200 , 70
2025-04-01 , /browse , 200 , 5440
2025-04-01 , /collection , 200 , 401
2025-04-01 , /contact , 200 , 126
2025-04-01 , /content , 200 , 662
2025-04-01 , /creator , 200 , 22609
2025-04-01 , /csldownload , 200 , 1
2025-04-01 , /dlsearch.aspx , 200 , 1
2025-04-01 , /generatepdf , 200 , 141
2025-04-01 , /handlers , 200 , 890
2025-04-01 , /item , 200 , 45084
2025-04-01 , /itemdetails , 200 , 1233
2025-04-01 , /itemtext , 200 , 1112
2025-04-01 , /modsdownload , 200 , 438
2025-04-01 , /name , 200 , 28054
2025-04-01 , /namedetail , 200 , 552
2025-04-01 , /namelist , 200 , 1887
2025-04-01 , /namelistdownload , 200 , 10859
2025-04-01 , /oai , 200 , 37
2025-04-01 , /openurl , 200 , 7128
2025-04-01 , /openurlmultiple.aspx , 200 , 222
2025-04-01 , /openurlnone.aspx , 200 , 6
2025-04-01 , /page , 200 , 132035
2025-04-01 , /pageimage , 200 , 102
2025-04-01 , /pagesummary , 200 , 209422
2025-04-01 , /pagetext , 200 , 1746587
2025-04-01 , /pagethumb , 200 , 67080
2025-04-01 , /part , 200 , 23798
2025-04-01 , /partpdf , 200 , 15340
2025-04-01 , /parttext , 200 , 171
2025-04-01 , /risdownload , 200 , 78
2025-04-01 , /robots.txt , 200 , 895
2025-04-01 , /search , 200 , 7963
2025-04-01 , /search.aspx , 200 , 262
2025-04-01 , /service , 200 , 185
2025-04-01 , /subject , 200 , 11413
2025-04-01 , /content , 206 , 10
2025-04-01 , / , 301 , 531
2025-04-01 , /DLIndexBrowse.aspx , 301 , 10
2025-04-01 , /advsearch , 301 , 2
2025-04-01 , /api2 , 301 , 1
2025-04-01 , /api3 , 301 , 9
2025-04-01 , /bibliography , 301 , 245
2025-04-01 , /browse , 301 , 12
2025-04-01 , /collection , 301 , 3
2025-04-01 , /creator , 301 , 314
2025-04-01 , /error , 301 , 17
2025-04-01 , /ia , 301 , 901
2025-04-01 , /item , 301 , 1009
2025-04-01 , /itemdetails , 301 , 8
2025-04-01 , /itemimages , 301 , 50
2025-04-01 , /itempdf , 301 , 49
2025-04-01 , /itemtext , 301 , 48
2025-04-01 , /modsdownload , 301 , 45
2025-04-01 , /name , 301 , 816
2025-04-01 , /namedetail , 301 , 18
2025-04-01 , /namelistdownload , 301 , 307
2025-04-01 , /openurl , 301 , 75
2025-04-01 , /page , 301 , 43663
2025-04-01 , /pagesummary , 301 , 8
2025-04-01 , /pagethumb , 301 , 33
2025-04-01 , /part , 301 , 105
2025-04-01 , /partpdf , 301 , 136
2025-04-01 , /robots.txt , 301 , 158
2025-04-01 , /search , 301 , 518
2025-04-01 , /search.aspx , 301 , 12
2025-04-01 , /subject , 301 , 80
2025-04-01 , /wp-includes , 301 , 1
2025-04-01 , / , 302 , 687
2025-04-01 , /advsearch , 302 , 94
2025-04-01 , /api2 , 302 , 3
2025-04-01 , /api3 , 302 , 66
2025-04-01 , /bibliography , 302 , 891
2025-04-01 , /browse , 302 , 47
2025-04-01 , /collection , 302 , 2
2025-04-01 , /contact , 302 , 11
2025-04-01 , /creator , 302 , 850
2025-04-01 , /dlsearch.aspx , 302 , 2
2025-04-01 , /error , 302 , 7
2025-04-01 , /ia , 302 , 882
2025-04-01 , /item , 302 , 2897
2025-04-01 , /itemdetails , 302 , 1
2025-04-01 , /itemimages , 302 , 1322
2025-04-01 , /itemnotfound , 302 , 4
2025-04-01 , /itempdf , 302 , 4002
2025-04-01 , /name , 302 , 56
2025-04-01 , /namelist , 302 , 5
2025-04-01 , /namelistdownload , 302 , 1
2025-04-01 , /openurl , 302 , 976
2025-04-01 , /openurlmultiple.aspx , 302 , 3
2025-04-01 , /page , 302 , 1587
2025-04-01 , /part , 302 , 284
2025-04-01 , /partimages , 302 , 96
2025-04-01 , /partpdf , 302 , 588
2025-04-01 , /search , 302 , 173
2025-04-01 , /search.aspx , 302 , 2
2025-04-01 , /service , 302 , 1
2025-04-01 , /subject , 302 , 2
2025-04-01 , /content , 304 , 13
2025-04-01 , /robots.txt , 304 , 3
2025-04-01 , /api3 , 400 , 66
2025-04-01 , /api2 , 401 , 1
2025-04-01 , /api3 , 401 , 72
2025-04-01 , /content , 403 , 1
2025-04-01 , /advsearch , 404 , 4
2025-04-01 , /api , 404 , 3
2025-04-01 , /bibliography , 404 , 155
2025-04-01 , /browse , 404 , 16
2025-04-01 , /content , 404 , 8
2025-04-01 , /csldownload , 404 , 4
2025-04-01 , /item , 404 , 60
2025-04-01 , /itemnotfound , 404 , 558
2025-04-01 , /itempdf , 404 , 2
2025-04-01 , /name , 404 , 146
2025-04-01 , /page , 404 , 88
2025-04-01 , /pagenotfound , 404 , 209
2025-04-01 , /pagethumb , 404 , 23
2025-04-01 , /part , 404 , 18
2025-04-01 , /wp-content , 404 , 151
2025-04-01 , /wp-includes , 404 , 105
2025-04-01 , /content , 406 , 2
2025-04-01 , /content , 416 , 1
2025-04-01 , /api , 500 , 2
2025-04-01 , /api2 , 500 , 5
2025-04-01 , /api3 , 500 , 4
2025-04-01 , /error , 500 , 939
2025-04-02 , / , 200 , 3243
2025-04-02 , /DLIndexBrowse.aspx , 200 , 2060
2025-04-02 , /Search.aspx , 200 , 3
2025-04-02 , /advsearch , 200 , 170
2025-04-02 , /api2 , 200 , 3912
2025-04-02 , /api3 , 200 , 47052
2025-04-02 , /bibliography , 200 , 28540
2025-04-02 , /bibtexdownload , 200 , 39
2025-04-02 , /browse , 200 , 4904
2025-04-02 , /collection , 200 , 380
2025-04-02 , /contact , 200 , 127
2025-04-02 , /content , 200 , 1336
2025-04-02 , /creator , 200 , 25807
2025-04-02 , /dlsearch.aspx , 200 , 2
2025-04-02 , /generatepdf , 200 , 203
2025-04-02 , /handlers , 200 , 461
2025-04-02 , /item , 200 , 44423
2025-04-02 , /itemdetails , 200 , 1077
2025-04-02 , /itemtext , 200 , 1340
2025-04-02 , /modsdownload , 200 , 987
2025-04-02 , /name , 200 , 26928
2025-04-02 , /namedetail , 200 , 682
2025-04-02 , /namelist , 200 , 2299
2025-04-02 , /namelistdownload , 200 , 9275
2025-04-02 , /oai , 200 , 95
2025-04-02 , /openurl , 200 , 18462
2025-04-02 , /openurlmultiple.aspx , 200 , 252
2025-04-02 , /openurlnone.aspx , 200 , 2
2025-04-02 , /page , 200 , 128724
2025-04-02 , /pageimage , 200 , 32
2025-04-02 , /pagesummary , 200 , 204840
2025-04-02 , /pagetext , 200 , 3475
2025-04-02 , /pagethumb , 200 , 74930
2025-04-02 , /part , 200 , 24642
2025-04-02 , /partpdf , 200 , 15406
2025-04-02 , /parttext , 200 , 269
2025-04-02 , /risdownload , 200 , 34
2025-04-02 , /robots.txt , 200 , 806
2025-04-02 , /search , 200 , 8585
2025-04-02 , /search.aspx , 200 , 236
2025-04-02 , /service , 200 , 192
2025-04-02 , /subject , 200 , 8764
2025-04-02 , /content , 206 , 19
2025-04-02 , / , 301 , 656
2025-04-02 , /DLIndexBrowse.aspx , 301 , 14
2025-04-02 , /api3 , 301 , 38
2025-04-02 , /bibliography , 301 , 208
2025-04-02 , /browse , 301 , 16
2025-04-02 , /collection , 301 , 8
2025-04-02 , /contact , 301 , 2
2025-04-02 , /content , 301 , 2
2025-04-02 , /creator , 301 , 463
2025-04-02 , /error , 301 , 26
2025-04-02 , /ia , 301 , 705
2025-04-02 , /item , 301 , 1082
2025-04-02 , /itemdetails , 301 , 13
2025-04-02 , /itemimages , 301 , 49
2025-04-02 , /itempdf , 301 , 68
2025-04-02 , /itemtext , 301 , 48
2025-04-02 , /modsdownload , 301 , 82
2025-04-02 , /name , 301 , 813
2025-04-02 , /namedetail , 301 , 23
2025-04-02 , /namelistdownload , 301 , 200
2025-04-02 , /openurl , 301 , 44
2025-04-02 , /page , 301 , 52223
2025-04-02 , /pagethumb , 301 , 34
2025-04-02 , /part , 301 , 112
2025-04-02 , /partpdf , 301 , 793
2025-04-02 , /robots.txt , 301 , 156
2025-04-02 , /search , 301 , 806
2025-04-02 , /search.aspx , 301 , 7
