date , sc-status , num-hits
2025-04-12 , 403 , 3
2025-04-12 , 404 , 90917
2025-04-12 , 405 , 18
2025-04-12 , 406 , 5
2025-04-12 , 416 , 1
2025-04-12 , 500 , 398
2025-04-13 , 200 , 1039870
2025-04-13 , 206 , 739
2025-04-13 , 301 , 36490
2025-04-13 , 302 , 16252
2025-04-13 , 304 , 2178
2025-04-13 , 400 , 15
2025-04-13 , 401 , 9
2025-04-13 , 404 , 17402
2025-04-13 , 406 , 7
2025-04-13 , 416 , 1
2025-04-13 , 500 , 1524
2025-04-14 , 200 , 1174581
2025-04-14 , 206 , 738
2025-04-14 , 301 , 36565
2025-04-14 , 302 , 23850
2025-04-14 , 304 , 6207
2025-04-14 , 400 , 31
2025-04-14 , 401 , 19
2025-04-14 , 403 , 13
2025-04-14 , 404 , 21751
2025-04-14 , 406 , 3
2025-04-14 , 500 , 867
2025-04-15 , 200 , 1382709
2025-04-15 , 206 , 823
2025-04-15 , 301 , 45007
2025-04-15 , 302 , 28102
2025-04-15 , 304 , 6230
2025-04-15 , 400 , 55
2025-04-15 , 401 , 85
2025-04-15 , 404 , 20975
2025-04-15 , 406 , 1
2025-04-15 , 416 , 1
2025-04-15 , 500 , 1157
2025-04-16 , 200 , 1161155
2025-04-16 , 206 , 422
2025-04-16 , 301 , 53246
2025-04-16 , 302 , 23928
2025-04-16 , 304 , 5005
2025-04-16 , 400 , 17
2025-04-16 , 401 , 66
2025-04-16 , 403 , 11
2025-04-16 , 404 , 25764
2025-04-16 , 406 , 1
2025-04-16 , 416 , 4
2025-04-16 , 500 , 2233
2025-04-17 , 200 , 1041986
2025-04-17 , 206 , 808
2025-04-17 , 301 , 48533
2025-04-17 , 302 , 23875
2025-04-17 , 304 , 4920
2025-04-17 , 400 , 10
2025-04-17 , 401 , 99
2025-04-17 , 403 , 9
2025-04-17 , 404 , 20880
2025-04-17 , 406 , 2
2025-04-17 , 416 , 2
2025-04-17 , 500 , 4129
2025-04-18 , 200 , 953927
2025-04-18 , 206 , 518
2025-04-18 , 301 , 43820
2025-04-18 , 302 , 20314
2025-04-18 , 304 , 2767
2025-04-18 , 400 , 8
2025-04-18 , 401 , 62
2025-04-18 , 403 , 1
2025-04-18 , 404 , 16074
2025-04-18 , 406 , 1
2025-04-18 , 416 , 3
2025-04-18 , 500 , 3389
2025-04-19 , 200 , 969288
2025-04-19 , 206 , 382
2025-04-19 , 301 , 37783
2025-04-19 , 302 , 19074
2025-04-19 , 304 , 2050
2025-04-19 , 400 , 6
2025-04-19 , 401 , 83
2025-04-19 , 403 , 2
2025-04-19 , 404 , 14216
2025-04-19 , 416 , 1
2025-04-19 , 500 , 2332
2025-04-20 , 200 , 1033625
2025-04-20 , 206 , 1579
2025-04-20 , 301 , 58923
2025-04-20 , 302 , 18026
2025-04-20 , 304 , 2045
2025-04-20 , 400 , 1
2025-04-20 , 401 , 75
2025-04-20 , 403 , 5
2025-04-20 , 404 , 15604
2025-04-20 , 406 , 2
2025-04-20 , 500 , 1155
2025-04-21 , 200 , 1044497
2025-04-21 , 206 , 1654
2025-04-21 , 301 , 78674
2025-04-21 , 302 , 28562
2025-04-21 , 304 , 3445
2025-04-21 , 400 , 16
2025-04-21 , 401 , 92
2025-04-21 , 403 , 1
2025-04-21 , 404 , 16817
2025-04-21 , 416 , 1
2025-04-21 , 500 , 8011
2025-04-22 , 200 , 1461350
2025-04-22 , 206 , 1243
2025-04-22 , 301 , 44717
2025-04-22 , 302 , 26726
2025-04-22 , 304 , 7377
2025-04-22 , 400 , 1
2025-04-22 , 401 , 94
2025-04-22 , 403 , 4
2025-04-22 , 404 , 19498
2025-04-22 , 406 , 12
2025-04-22 , 416 , 3
2025-04-22 , 500 , 1238
2025-04-23 , 200 , 1161115
2025-04-23 , 206 , 867
2025-04-23 , 301 , 49596
2025-04-23 , 302 , 40345
2025-04-23 , 304 , 7661
2025-04-23 , 400 , 21
2025-04-23 , 401 , 128
2025-04-23 , 403 , 7
2025-04-23 , 404 , 27052
2025-04-23 , 406 , 56
2025-04-23 , 500 , 2581
2025-04-24 , 200 , 1506981
2025-04-24 , 206 , 1166
2025-04-24 , 301 , 44663
2025-04-24 , 302 , 90524
2025-04-24 , 304 , 6157
2025-04-24 , 400 , 58
2025-04-24 , 401 , 65
2025-04-24 , 403 , 58
2025-04-24 , 404 , 20428
2025-04-24 , 406 , 40
2025-04-24 , 416 , 4
2025-04-24 , 417 , 1
2025-04-24 , 500 , 3595
2025-04-25 , 200 , 2425823
2025-04-25 , 206 , 1136
2025-04-25 , 301 , 37779
2025-04-25 , 302 , 65648
2025-04-25 , 304 , 5542
2025-04-25 , 400 , 7
2025-04-25 , 401 , 98
2025-04-25 , 403 , 75576
2025-04-25 , 404 , 21599
2025-04-25 , 406 , 9
2025-04-25 , 416 , 1
2025-04-25 , 500 , 1309
2025-04-26 , 200 , 1185787
2025-04-26 , 206 , 1108
2025-04-26 , 301 , 69245
2025-04-26 , 302 , 57371
2025-04-26 , 304 , 2748
2025-04-26 , 400 , 12
2025-04-26 , 401 , 56
2025-04-26 , 403 , 42607
2025-04-26 , 404 , 29338
2025-04-26 , 405 , 1
2025-04-26 , 406 , 23
2025-04-26 , 416 , 4
2025-04-26 , 500 , 1293
2025-04-27 , 200 , 1052826
2025-04-27 , 206 , 959
2025-04-27 , 301 , 25350
2025-04-27 , 302 , 44410
2025-04-27 , 304 , 2657
2025-04-27 , 400 , 16
2025-04-27 , 401 , 84
2025-04-27 , 403 , 2
2025-04-27 , 404 , 20257
2025-04-27 , 406 , 5
2025-04-27 , 416 , 1
2025-04-27 , 417 , 1
2025-04-27 , 500 , 651
2025-04-28 , 200 , 1154642
2025-04-28 , 206 , 961
2025-04-28 , 301 , 24849
2025-04-28 , 302 , 29769
2025-04-28 , 304 , 7553
2025-04-28 , 400 , 57
2025-04-28 , 401 , 71
2025-04-28 , 403 , 1
2025-04-28 , 404 , 22026
2025-04-28 , 406 , 3
2025-04-28 , 416 , 4
2025-04-28 , 500 , 695
2025-04-29 , 200 , 1206498
2025-04-29 , 206 , 993
2025-04-29 , 301 , 28117
2025-04-29 , 302 , 24067
2025-04-29 , 304 , 6488
2025-04-29 , 400 , 66
2025-04-29 , 401 , 55
2025-04-29 , 403 , 5
2025-04-29 , 404 , 21201
2025-04-29 , 405 , 14
2025-04-29 , 416 , 4
2025-04-29 , 500 , 515
2025-04-30 , 200 , 1109128
2025-04-30 , 206 , 1101
2025-04-30 , 301 , 27795
2025-04-30 , 302 , 30547
2025-04-30 , 304 , 6037
2025-04-30 , 400 , 64
2025-04-30 , 401 , 54
2025-04-30 , 403 , 2
2025-04-30 , 404 , 24697
2025-04-30 , 406 , 1
2025-04-30 , 416 , 2
2025-04-30 , 500 , 1842
