date , sc-status , num-hits
2025-04-01 , 200 , 2911206
2025-04-01 , 206 , 1148
2025-04-01 , 301 , 51177
2025-04-01 , 302 , 15806
2025-04-01 , 304 , 5704
2025-04-01 , 400 , 66
2025-04-01 , 401 , 73
2025-04-01 , 403 , 1
2025-04-01 , 404 , 23966
2025-04-01 , 406 , 2
2025-04-01 , 416 , 1
2025-04-01 , 500 , 950
2025-04-02 , 200 , 1162971
2025-04-02 , 206 , 1497
2025-04-02 , 301 , 60061
2025-04-02 , 302 , 19029
2025-04-02 , 304 , 5343
2025-04-02 , 400 , 88
2025-04-02 , 401 , 152
2025-04-02 , 403 , 1
2025-04-02 , 404 , 22408
2025-04-02 , 405 , 10
2025-04-02 , 406 , 2
2025-04-02 , 416 , 3
2025-04-02 , 500 , 3948
2025-04-03 , 200 , 1238402
2025-04-03 , 206 , 426
2025-04-03 , 301 , 42080
2025-04-03 , 302 , 30826
2025-04-03 , 304 , 7801
2025-04-03 , 400 , 64
2025-04-03 , 401 , 127
2025-04-03 , 403 , 1
2025-04-03 , 404 , 25752
2025-04-03 , 406 , 1
2025-04-03 , 416 , 7
2025-04-03 , 500 , 13284
2025-04-04 , 200 , 4376062
2025-04-04 , 206 , 903
2025-04-04 , 301 , 36924
2025-04-04 , 302 , 32604
2025-04-04 , 304 , 5677
2025-04-04 , 400 , 4
2025-04-04 , 401 , 66
2025-04-04 , 403 , 2
2025-04-04 , 404 , 21276
2025-04-04 , 406 , 3
2025-04-04 , 416 , 3
2025-04-04 , 500 , 9190
2025-04-05 , 200 , 1006278
2025-04-05 , 206 , 834
2025-04-05 , 301 , 27744
2025-04-05 , 302 , 21427
2025-04-05 , 304 , 2435
2025-04-05 , 400 , 13
2025-04-05 , 401 , 37
2025-04-05 , 404 , 16253
2025-04-05 , 406 , 6
2025-04-05 , 416 , 2
2025-04-05 , 500 , 3915
2025-04-06 , 200 , 1012062
2025-04-06 , 206 , 807
2025-04-06 , 301 , 27216
2025-04-06 , 302 , 18566
2025-04-06 , 304 , 2745
2025-04-06 , 400 , 14
2025-04-06 , 401 , 42
2025-04-06 , 403 , 1
2025-04-06 , 404 , 21812
2025-04-06 , 405 , 1
2025-04-06 , 406 , 2
2025-04-06 , 416 , 1
2025-04-06 , 500 , 1956
2025-04-07 , 200 , 1114482
2025-04-07 , 206 , 884
2025-04-07 , 301 , 33430
2025-04-07 , 302 , 19160
2025-04-07 , 304 , 7611
2025-04-07 , 400 , 42
2025-04-07 , 401 , 133
2025-04-07 , 403 , 2
2025-04-07 , 404 , 21220
2025-04-07 , 406 , 1
2025-04-07 , 416 , 2
2025-04-07 , 500 , 1469
2025-04-08 , 200 , 1046559
2025-04-08 , 206 , 709
2025-04-08 , 301 , 30414
2025-04-08 , 302 , 14907
2025-04-08 , 304 , 6256
2025-04-08 , 400 , 2
2025-04-08 , 401 , 109
2025-04-08 , 403 , 21
2025-04-08 , 404 , 19370
2025-04-08 , 406 , 5
2025-04-08 , 416 , 3
2025-04-08 , 417 , 1
2025-04-08 , 500 , 1140
2025-04-09 , 200 , 1147683
2025-04-09 , 206 , 723
2025-04-09 , 301 , 36951
2025-04-09 , 302 , 18595
2025-04-09 , 304 , 5202
2025-04-09 , 400 , 179
2025-04-09 , 401 , 136
2025-04-09 , 403 , 6
2025-04-09 , 404 , 21585
2025-04-09 , 416 , 3
2025-04-09 , 500 , 1164
2025-04-10 , 200 , 1143751
2025-04-10 , 206 , 758
2025-04-10 , 301 , 43448
2025-04-10 , 302 , 21106
2025-04-10 , 304 , 5235
2025-04-10 , 400 , 37
2025-04-10 , 401 , 43
2025-04-10 , 403 , 3
2025-04-10 , 404 , 19207
2025-04-10 , 406 , 1
2025-04-10 , 500 , 380
2025-04-11 , 200 , 1090565
2025-04-11 , 206 , 776
2025-04-11 , 301 , 39607
2025-04-11 , 302 , 15514
2025-04-11 , 304 , 5505
2025-04-11 , 400 , 22
2025-04-11 , 401 , 80
2025-04-11 , 403 , 6
2025-04-11 , 404 , 16665
2025-04-11 , 406 , 11
2025-04-11 , 416 , 2
2025-04-11 , 500 , 452
2025-04-12 , 200 , 964248
2025-04-12 , 206 , 475
2025-04-12 , 301 , 31972
2025-04-12 , 302 , 87531
2025-04-12 , 304 , 2491
2025-04-12 , 400 , 18
2025-04-12 , 401 , 32
